Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CP,N900_RS00015,mnmE,6.067762649217762,2.6220782532618268,-0.2438551772843834,-0.6947355707596358,-0.2298323444723168,-1.1064736313432884,0.19237544371244,0.1686526998041625,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
CP,N900_RS00025,yidD,5.209614473475064,0.4461164963138266,-0.8632777511668328,-0.7156131809109081,-1.0468065279168906,1.1053221353718534,0.0049588452069929,1.1549984672614655,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
CP,N900_RS00040,yxeO,-1.0549469788454462,1.0012452158221,-0.4820378702715061,-1.1276577461292585,0.1541679746033259,-0.3811379442774755,1.3163242810531923,1.2188062991345543,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
CP,N900_RS00045,patM,3.571099257276949,0.2276319332337227,-2.106345363631105,0.8506795754838297,-0.0791322668358576,-1.8657701689443176,0.2356068982893694,1.2347914230502248,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
CP,N900_RS00050,patH,6.5114556819115945,2.9379599174003133,-1.730268741740048,-1.8379655126671497,-0.8385857037877714,-1.405316606033571,0.821636091809828,2.192826910914461,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
CP,N900_RS00065,recF,3.642673255827138,1.8245401642749577,-2.792524011963282,-0.9584409399380992,-0.6675297893242175,-1.9986832243772032,0.6838890407374296,1.25037731158824,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
CP,N900_RS00075,VC_0016,5.321643972457513,3.529250199347229,-1.980600464403814,-1.506482015761556,-0.951582249229494,-1.204886941330514,0.074526753493609,0.8188488603281021,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
CP,N900_RS00085,ibpA,1.9617843614070596,1.5278098628090242,-0.4837397298182897,-1.2307317837531988,-0.724715563605375,0.925001922242414,0.2624762264190242,0.9905206486468952,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
CP,N900_RS00090,avtA,1.2392581964086165,2.4685116873607407,-0.5624790297381704,-1.281682561207564,0.0547522051712806,-1.153664071055888,1.555098718908615,-0.0007744885997653,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
CP,N900_RS00105,mneA,4.5261726509238835,3.508087532703557,-2.7968004327949147,-0.8485639552895385,-1.6177033440756203,-1.9518316771578077,0.0032251101767643,1.9260015854119892,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
