Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS00015,TensorComp1,5.518604870954326,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368,5.518604870954326,569.0
N900_RS00025,TensorComp1,4.58314839425107,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995,4.58314839425107,1342.0
N900_RS00040,TensorComp1,0.4503720119558347,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567,0.4503720119558347,3099.0
N900_RS00045,TensorComp1,3.8772908269437534,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738,3.8772908269437534,1816.0
N900_RS00050,TensorComp1,6.9854732300049935,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645,6.9854732300049935,1.0
N900_RS00065,TensorComp1,4.541647093419911,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633,4.541647093419911,1373.0
N900_RS00075,TensorComp1,5.395443689830659,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093,5.395443689830659,684.0
N900_RS00085,TensorComp1,1.919469999231214,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184,1.919469999231214,2705.0
N900_RS00090,TensorComp1,2.3545888584767494,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969,2.3545888584767494,2548.0
N900_RS00105,TensorComp1,5.13422725597219,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995,5.13422725597219,910.0
