Gene,PCA_MSE,CP_MSE,VAE_MSE,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
N900_RS00015,0.217177420736623,0.2064927176338513,0.15945920906591857,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368
N900_RS00025,0.6844591141373002,0.6740768581982193,0.6205445074762893,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995
N900_RS00040,0.7558448314785804,0.7579410073148398,0.8074300413146221,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567
N900_RS00045,0.8884420338220883,0.7152425828930566,0.8397048240367404,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738
N900_RS00050,0.28145847631590815,0.19176124611509707,0.2601094048633839,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645
N900_RS00065,0.6835578705284869,0.6214089159135193,0.5710431151900086,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633
N900_RS00075,0.21983605294065398,0.19588464922692955,0.19837350311802432,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093
N900_RS00085,0.8631286883023764,0.8538944602220913,0.8828601298125034,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184
N900_RS00090,0.749471665998024,0.7253884966830314,0.7306653508414828,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969
N900_RS00105,0.3279877459193204,0.36647437899407553,0.31923508678603313,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995
N900_RS00110,0.8115456388736397,0.8881805417432721,0.8684371141383863,NADH dehydrogenase subunit II-related protein,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998
N900_RS00120,0.4787665665081585,0.5819527121742876,0.47876037206141914,N900_RS00120,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641
N900_RS00125,0.24653599493494632,0.19611935482603707,0.2253087164920887,acuI,1.0485218166666668,-0.080152,3.9734,24h_SI8,24h,SI8,1h_ce,1h,ce,4.053552
N900_RS00130,0.17513830299666197,0.16515757062375994,0.1808169333000755,ilvA,1.6060143166666667,-0.054921,4.4043,1h_SI3,1h,SI3,12h_st,12h,st,4.459221
N900_RS00135,0.44430655979399114,0.521764520225698,0.3935306975267131,ilvD,1.2914153500000003,-0.34542,5.3665,3h_SI7,3h,SI7,12h_st,12h,st,5.71192
N900_RS00140,0.5213421263889806,0.6495458246592879,0.5423012811430336,ilvE,2.0222916816666663,-0.23122,6.337,1h_SI5,1h,SI5,12h_st,12h,st,6.56822
N900_RS00145,0.5415978802395074,0.554358689224941,0.5445615913346469,ilvM,1.66385,-0.11262,6.8711,1h_SI3,1h,SI3,1h_st,1h,st,6.98372
N900_RS00150,0.40869450497549686,0.4376659002353574,0.42589457244956697,ilvG,1.4846871666666668,0.018497,5.1406,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.122103
N900_RS00155,0.6356292139670167,0.7341598804276983,0.5478120336134744,yifb,0.6229813333333334,-0.86017,3.8262,3h_SI3,3h,SI3,3h_SI2,3h,SI2,4.68637
N900_RS00160,0.3153174733076943,0.32798388630627107,0.3318968748741099,yihG,1.1543101833333336,-0.43317,4.2116,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.644769999999999
N900_RS00165,0.3637366497329656,0.45425187228131847,0.35485248741345277,dsba,0.12588415,-3.4222,3.7881,6h_SI8,6h,SI8,1h_SI1,1h,SI1,7.2103
N900_RS00170,0.21395837481752153,0.22219416243877546,0.21213432009592853,serine/threonine protein kinase,1.3087315166666664,-0.2317,3.81,1h_st,1h,st,3h_SI5,3h,SI5,4.0417
N900_RS00175,0.40278230084411526,0.4501416525359784,0.5108970784692598,ccoG,1.7052086000000002,-0.011665,5.0217,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.033365
N900_RS00180,0.7921248884556696,0.6300196726572964,0.8243037627030806,yihD,0.6527487766666666,-2.3226,4.8509,6h_SI5,6h,SI5,3h_SI4,3h,SI4,7.173500000000001
N900_RS00185,0.5080427826162441,0.5236004410529194,0.37807469928431114,N900_RS00185,1.9537398333333336,-1.9606,9.2447,12h_SI8,12h,SI8,6h_st,6h,st,11.2053
N900_RS00190,0.43787862189065035,0.37669067857387034,0.2896324702707389,SpoOM-related protein,1.258719116666667,-0.37554,4.6742,3h_SI3,3h,SI3,6h_st,6h,st,5.04974
N900_RS00195,0.5500296786176476,0.4981128001959768,0.5365951510684118,yqfA,1.2816228333333333,-1.3095,4.9413,12h_SI2,12h,SI2,3h_SI4,3h,SI4,6.2508
N900_RS00200,0.48077992928065005,0.4122099307611452,0.41700679043039257,N900_RS00200,1.1777025166666666,-0.17352,4.1804,1h_SI2,1h,SI2,6h_SI4,6h,SI4,4.35392
N900_RS00205,0.363414473033834,0.31323298612708256,0.3098908857538479,trkI,1.5978866,-0.43912,5.0215,1h_SI9,1h,SI9,3h_SI3,3h,SI3,5.46062
N900_RS00215,0.5196911995368881,0.46858650533233603,0.545011874204388,rsmB,1.1058841166666666,-0.54292,4.617,24h_st,24h,st,3h_SI3,3h,SI3,5.15992
N900_RS00225,0.8163746506590948,0.8411655937431731,0.8333844160991813,def1,0.8774843333333333,-1.1415,4.8272,6h_co,6h,co,3h_SI1,3h,SI1,5.9687
N900_RS00230,0.4903630658566792,0.5161594040883839,0.508165512741172,N900_RS00230,1.1709372333333334,-0.13227,4.6166,6h_SI2,6h,SI2,3h_SI1,3h,SI1,4.74887
N900_RS00235,0.2964809441815455,0.322838833961503,0.22617724112722307,dprA,1.3675271666666662,0.10879,3.8477,1h_SI8,1h,SI8,3h_st,3h,st,3.73891
N900_RS00240,0.9331320507225117,0.9316862498453199,0.9087467634896217,smg,0.8821779666666667,-0.79253,4.6068,6h_SI2,6h,SI2,3h_SI1,3h,SI1,5.39933
N900_RS00245,0.2766002140513846,0.26346669939106593,0.16770622542583175,topA_1,1.6392014999999998,-0.94353,6.1237,1h_SI8,1h,SI8,6h_st,6h,st,7.06723
N900_RS00250,0.5622720424788016,0.48096434898715906,0.5526296649161674,purK,-0.47205640783333336,-2.8608,3.9392,24h_SI5,24h,SI5,6h_SI1,6h,SI1,6.8
N900_RS00255,0.26297524872870265,0.21660732423652015,0.1850693087275477,purE,-2.029291016666667,-5.0325,3.2053,12h_SI7,12h,SI7,1h_st,1h,st,8.2378
N900_RS00260,0.2609762170979112,0.2102334295798524,0.2008954323554965,tsaC,0.9043148500000001,-0.48726,4.666,6h_st,6h,st,3h_st,3h,st,5.15326
N900_RS00265,0.8671837715442159,0.8856442844983443,0.7424159648328776,hemF,-0.4489359333333333,-2.6648,2.7986,12h_SI4,12h,SI4,6h_SI4,6h,SI4,5.4634
N900_RS00270,0.34528177812144906,0.316724946999097,0.38313965029802044,aroE,-0.4271091333333334,-2.1854,3.4301,24h_SI9,24h,SI9,1h_SI1,1h,SI1,5.6155
N900_RS00275,0.1595884776825317,0.1827594303188176,0.1812052949650356,N900_RS00275,1.4906737333333333,-0.011576,3.6762,1h_SI8,1h,SI8,3h_SI1,3h,SI1,3.687776
N900_RS00280,0.4749266496306274,0.5304054087881194,0.37154916834570434,yrdA,1.496199483333333,-0.36939,4.21,6h_SI4,6h,SI4,3h_SI3,3h,SI3,4.57939
N900_RS00320,0.24154285987465596,0.2553855689401478,0.24887866526817465,crcB,1.7163328333333332,-0.22227,4.6735,1h_SI4,1h,SI4,6h_SI4,6h,SI4,4.89577
N900_RS00325,0.41063621146662727,0.44977996761884204,0.41876049252325054,thiC,1.7294315,0.21289,5.8496,1h_SI5,1h,SI5,12h_st,12h,st,5.63671
N900_RS00330,0.6240277307718376,0.8022171783374575,0.7148446342469053,thiE,0.19236300500000006,-1.3637,3.305,3h_SI1,3h,SI1,12h_st,12h,st,4.6687
N900_RS00335,0.6604658302911428,0.6803246054347984,0.667505993707824,thiF,-0.08667852000000001,-1.9753,2.4508,12h_SI1,12h,SI1,3h_SI4,3h,SI4,4.4261
N900_RS00340,0.33574726040729763,0.26952894998109345,0.27781226457454256,thiS,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345
N900_RS00345,0.6460756694297224,0.7045919557436642,0.6090166448684133,thiG,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999
N900_RS00350,0.15525983704423277,0.1962290979704558,0.14943549371530437,thiH,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773
N900_RS00355,0.33161875465087737,0.3810100367824671,0.3639847339924863,aminopeptidase P,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001
N900_RS00360,0.622106347227632,0.589522924859751,0.5723579445097353,LysR family transcriptional regulator_1,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586
N900_RS00365,0.749216159176732,0.6091766563934318,0.7124608331245675,mdtL_1,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001
N900_RS00370,0.6929177183445053,0.8005085472242255,0.7203018326787856,N900_RS00370,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569
N900_RS00375,0.8026084001317535,0.796059145161656,0.7498135716058805,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972
N900_RS00380,0.2676163472185766,0.2900332479912109,0.2763287705505233,N900_RS00380,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049
N900_RS00385,0.17669420911064074,0.19394742498417747,0.1563020541427408,rsmJ,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134
N900_RS00390,0.5202115284663911,0.5923112850701628,0.5418515604724445,N900_RS00390,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143
N900_RS00395,0.5127167198820858,0.5449309887888065,0.48059005238178076,eamA_2,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505
N900_RS00400,0.8150494947731507,0.8494024402310633,0.799144138941697,uspA_1,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563
N900_RS00410,0.630785472645558,0.7240663476405634,0.7396676558498803,ftnA,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539
N900_RS00415,0.31632591082940065,0.40729259233550524,0.29114338327499023,uspB,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663
