Gene,PCA_MSE,CP_MSE,VAE_MSE,CPVAE_MSE,Best_non_CPVAE_MSE,Best_non_CPVAE_model,CPVAE_advantage_vs_best_other,CPVAE_advantage_vs_PCA,CPVAE_advantage_vs_CP,CPVAE_advantage_vs_VAE,CPVAE_rank_used,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Gene_label
N900_RS00015,0.20648150088418984,0.21294878267414155,0.23012689408081874,0.1613255047872677,0.20648150088418984,PCA,0.04515599609692214,0.04515599609692214,0.05162327788687385,0.06880138929355104,10,mnmE,0.6908121666666667,-1.463,3.6738,6h_SI9,6h,SI9,3h_SI7,3h,SI7,5.1368,mnmE
N900_RS00025,0.514789554095668,0.4682144750635053,0.7357264503165585,0.5733355457076527,0.4682144750635053,CP,-0.10512107064414739,-0.058545991611984705,-0.10512107064414739,0.16239090460890582,10,yidD,0.268908745,-3.1212,3.9865,6h_SI7,6h,SI7,1h_co,1h,co,7.1076999999999995,yidD
N900_RS00040,0.6044739760451775,0.657422561718073,0.8347090573269613,0.6671932012082223,0.6044739760451775,PCA,-0.06271922516304484,-0.06271922516304484,-0.009770639490149335,0.16751585611873898,10,yxeO,0.1887202166666667,-1.3335,3.6232,12h_SI2,12h,SI2,6h_SI2,6h,SI2,4.9567,yxeO
N900_RS00045,0.4338212015189134,0.5390649646210406,0.7967923767969799,0.4879455270410898,0.4338212015189134,PCA,-0.054124325522176386,-0.054124325522176386,0.0511194375799508,0.3088468497558901,10,patM,1.7093390000000002,-0.21058,6.3068,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.51738,patM
N900_RS00050,0.1273545255493596,0.15876631472341476,0.3012110815928992,0.13113552581467533,0.1273545255493596,PCA,-0.0037810002653157204,-0.0037810002653157204,0.027630788908739434,0.1700755557782239,10,patH,0.8948083666666666,-0.43105,3.6854,1h_st,1h,st,6h_SI4,6h,SI4,4.11645,patH
N900_RS00065,0.5074159270167959,0.44887257001650405,0.6902437588177505,0.46331851281125974,0.44887257001650405,CP,-0.014445942794755695,0.0440974142055362,-0.014445942794755695,0.22692524600649072,10,recF,1.07110085,-0.72163,4.4447,6h_SI1,6h,SI1,6h_st,6h,st,5.16633,recF
N900_RS00075,0.17177985187104358,0.15262249441050801,0.26404222859929716,0.1298425722875541,0.15262249441050801,CP,0.022779922122953905,0.04193727958348947,0.022779922122953905,0.13419965631174305,10,N900_RS00075,1.432234166666667,0.21117,3.9921,1h_SI9,1h,SI9,3h_SI5,3h,SI5,3.78093,N900_RS00075
N900_RS00085,0.6509154067519769,0.5993968877743807,0.8353568224321816,0.62175014695408,0.5993968877743807,CP,-0.022353259179699325,0.02916525979789686,-0.022353259179699325,0.21360667547810153,10,ibpA,0.22538154383333336,-2.1899,3.4285,6h_co,6h,co,3h_SI4,3h,SI4,5.6184,ibpA
N900_RS00090,0.49104586745133105,0.43229595664866594,0.805178985400635,0.32061059010593734,0.43229595664866594,CP,0.11168536654272859,0.1704352773453937,0.11168536654272859,0.4845683952946977,10,avtA,0.7149570666666667,-0.89129,3.5684,12h_SI1,12h,SI1,6h_st,6h,st,4.45969,avtA
N900_RS00105,0.2259694564996129,0.21781393428699486,0.3769087532971784,0.26493739532372385,0.21781393428699486,CP,-0.047123461036728986,-0.038967938824110954,-0.047123461036728986,0.11197135797345453,10,mneA,1.4696406666666666,0.19162,4.2295,1h_SI9,1h,SI9,3h_SI1,3h,SI1,4.0378799999999995,mneA
N900_RS00110,0.6912967694567176,0.7991134982278646,0.8362570130237857,0.7356420996609785,0.6912967694567176,PCA,-0.0443453302042609,-0.0443453302042609,0.0634713985668861,0.10061491336280726,10,NADH dehydrogenase subunit II-related protein,-0.02647887833333334,-1.1285,2.2889,6h_SI2,6h,SI2,6h_SI3,6h,SI3,3.4173999999999998,NADH dehydrogenase subunit II-related protein
N900_RS00120,0.33012702176038783,0.4268535690844258,0.5685367541218972,0.2895292378376724,0.33012702176038783,PCA,0.0405977839227154,0.0405977839227154,0.13732433124675336,0.27900751628422477,10,N900_RS00120,0.6445359399999998,-0.96701,3.9194,3h_SI9,3h,SI9,3h_SI1,3h,SI1,4.88641,N900_RS00120
